Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
102,722.6340704957441,722.6340704957441,814.1510413512683,723.253056960646,786.2089201007075,723.253056960646,723.253056960646,791.685621976125,723.253056960646,723.253056960646,723.253056960646,724.7906558515881,838.3484902253925,728.8470140626268,728.8470140626268,728.8470140626268,728.8470140626268,728.8470140626268,838.3484902253925,728.8470140626268,731.9316087958767,731.9316087958767,786.1665599717406,899.9117272393971,731.9316087958767,846.1547939229949,853.9110072559474,838.837649019363,779.2713580663966,890.877179127289,902.8771129381821,814.1510413512683,821.7761362368284,843.7025701410194,943.0491403089317,786.1665599717406,920.4742901918937,836.1087005478369,900.1873832338251,935.4323245525364
103,729.1705173630181,729.1705173630181,821.5217772215135,729.8122041818071,796.6608650821717,729.8122041818071,729.8122041818071,798.7518163232721,729.8122041818071,729.8122041818071,729.8122041818071,731.8869693150341,850.9262377700395,735.3032536830979,735.3032536830979,735.3032536830979,735.7069642302921,735.7069642302921,846.3972357824036,735.7069642302921,738.9292238631656,738.9292238631656,794.3834238275523,908.5022719279541,740.5977709571065,856.2166043925796,863.9435958988902,846.3972357824036,788.8098838726758,901.1534933998345,912.9575563987645,821.5217772215135,831.8581430791369,853.9568225454443,955.0666717329107,794.3834238275523,929.9025930793335,836.1087005478369,908.5022719279541,946.3175607771851
104,735.7069642302921,735.7069642302921,832.1683957007566,736.9676375139829,807.9838054787579,736.9676375139829,736.9676375139829,809.7436741966121,736.9676375139829,736.9676375139829,736.9676375139829,738.9832827784801,863.0125646433045,742.2434110975661,742.2434110975661,742.2434110975661,742.2434110975661,742.2434110975661,856.70576318655,742.2434110975661,746.0795962419261,746.0795962419261,802.3283323590257,919.0848575386636,749.2639331183362,866.2919415722288,872.4327093659955,856.70576318655,796.8809441702965,910.0596324360406,924.718073769444,832.1683957007566,841.9401499214454,863.0125646433045,967.0842031568897,802.600287683364,940.1880144110861,836.1087005478369,918.9657714722467,955.5281452749648
105,744.6245524425019,744.6245524425019,844.689709142569,744.6245524425019,817.5647550451,744.6245524425019,744.6245524425019,819.9503993647136,744.6245524425019,744.6245524425019,745.9119291792027,746.0795962419261,872.0683067411646,748.3452709151946,748.3452709151946,748.3452709151946,748.3452709151946,748.3452709151946,866.525131796726,748.3452709151946,753.1759097053721,753.1759097053721,811.8622225967937,931.5353874993534,756.6920721136761,876.344500406902,878.7755668556724,867.0142905906964,804.2182717135881,918.9657714722467,937.318628095172,839.5391315710018,852.0221567637539,872.0683067411646,979.1017345808687,810.8171515391756,951.3305541871514,836.1087005478369,927.8719105084529,963.9014039093099
106,751.8747902893492,751.8747902893492,853.0372514371105,751.8747902893492,824.2643605440699,751.8747902893492,751.8747902893492,829.3719918275764,751.8747902893492,751.8747902893492,751.8747902893492,753.1759097053721,881.2919882739058,755.8030995811852,755.8030995811852,755.8030995811852,755.8030995811852,755.8030995811852,875.2611125140136,755.8030995811852,760.2722231688181,760.2722231688181,820.6016219814144,942.2072703228018,762.8821879431259,888.099060449826,889.5798930865338,875.2611125140136,810.8218665025506,929.2420857447922,949.0791454658515,849.3667793979955,861.2639963692033,883.5079344373307,992.1207269568459,819.0340153949873,960.7588570745912,836.1087005478369,939.210395091356,973.1119884070896
107,758.1829512587072,758.1829512587072,863.0543021905604,758.1829512587072,833.845310110412,758.1829512587072,759.5317052178682,838.7935842904392,759.5317052178682,759.5317052178682,760.2227958435543,760.8635826241052,891.8090313603692,762.9049631637033,762.9049631637033,762.9049631637033,763.3910953258285,763.9389126713567,884.8824047578836,763.9389126713567,766.3010804788672,767.2698382361069,828.5465305128878,952.8791531462502,769.0723037725758,899.6124817294766,899.6124817294766,884.8824047578836,820.3603923088298,937.4631371628286,959.1595889264339,860.0133978772386,870.5058359746527,891.8090313603692,1005.1397193328232,827.2508792507989,971.0442784063438,836.1087005478369,947.5252837854849,981.4852470414347
108,765.1920190024383,765.1920190024383,872.2365987145562,765.1920190024383,842.5552642616321,765.1920190024383,767.1886201463872,849.0003094585406,767.6833677360033,767.1886201463872,767.9598960875512,767.9598960875512,905.2252954079927,769.9123892148942,770.0068267462215,770.0068267462215,770.2202914960075,772.0747257615282,895.5200540855742,772.0747257615282,774.8455350749061,775.0562095509972,836.4914390443612,963.5510359696987,775.8814311849706,908.1015951965819,908.1015951965819,893.8164618414771,829.1651853607797,946.3692761990347,972.6001802072104,867.3841337474838,879.747675580102,900.8647734582294,1017.1572507568022,834.0982657973086,979.615462849471,836.1087005478369,955.8401724796139,989.8585056757798
109,773.6029002949157,773.6029002949157,883.9231579269144,773.6029002949157,851.2652184128523,773.6029002949157,775.4836113189493,857.6367692161649,775.6475690062844,775.4836113189493,775.6475690062844,775.6475690062844,917.8030429526397,776.9198152660852,778.0015779701719,778.1765855791567,778.1765855791567,778.1765855791567,905.3394226957502,778.1765855791567,782.884011488305,783.3095701803104,846.8198201352766,975.1122423617677,783.3095701803104,918.1341838395247,918.1341838395247,901.3760486045178,835.7687801497422,956.6455904715802,986.040771487987,872.0140050596219,889.8296824224105,908.9356353675585,1031.1777040847778,842.3151296531203,990.7580026255363,836.1087005478369,964.9109601459364,998.231764310125
110,780.8656190363312,780.8656190363312,893.9402086803643,782.8030023384601,861.7171633943165,782.8030023384601,782.8030023384601,865.4880962685506,782.8030023384601,782.8030023384601,782.8030023384601,783.3352419250175,926.62329730663,784.7058442118529,786.5233808982643,786.5233808982643,786.5233808982643,786.9903830935092,915.9770720234408,786.9903830935092,791.5923609361537,791.0229148437506,856.3537103730446,985.7841251852161,791.0229148437506,926.62329730663,926.62329730663,910.9973408483878,843.1061076930338,965.5517295077864,999.3291870686635,879.3847409298671,899.0715220278599,920.2553129898837,1043.195235508757,850.4434352363254,999.3291870686635,836.1087005478369,974.4578685439925,1007.9003715117907
111,787.4020659036051,787.4020659036051,903.1225052043601,790.4599172669791,871.2981129606586,790.4599172669791,790.4599172669791,873.3394233209364,790.4599172669791,790.4599172669791,791.0229148437506,791.0229148437506,936.6854953423476,792.4918731576206,792.9796205187354,792.9796205187354,793.9385127708791,793.9385127708791,925.7964406336167,793.9385127708791,799.4358601392064,797.8320422561454,865.0931097576653,996.4560080086645,797.8320422561454,938.377857349554,937.4276235374914,919.9313979319813,849.7097024819963,975.1429561621622,1007.9003715117907,890.0313594091102,909.1535288701684,928.5564099129222,1055.212766932736,859.345037746788,1007.9003715117907,836.1087005478369,983.528656210315,1016.4715559549179
