Time,0,1,2,3,4,5,6,7
125,864.6525185185187,981.4860373357211,1216.040473196476,1399.4805588720096,1083.3747476424203,1189.3090965929873,802.6925185185202,1245.5130238095226
126,872.0291111111113,989.8555400238931,1230.5172958661253,1413.6804873796057,1091.7396124349236,1204.0836166938625,810.0805925925943,1256.0267255290994
127,878.4836296296298,999.4286421744307,1247.5055382722899,1428.9889994439488,1100.1738376320084,1217.9525041981892,815.2957037037054,1263.4813287037025
128,885.3991851851854,1006.8162882317783,1263.3719067535228,1444.3918144573536,1109.331545203033,1231.9007271126925,821.3800000000017,1272.217060185184
129,891.8537037037039,1014.8444100955776,1280.5573810761675,1459.88893241982,1117.9044912092804,1248.934190792661,828.7680740740758,1284.1252096560834
130,899.2302962962965,1022.9447272998787,1291.6793128306865,1476.5197813921168,1127.2115904209418,1268.0792608613947,836.1561481481499,1291.6793128306865
131,906.1458518518521,1033.4522434289108,1303.0602175925912,1492.2055052527066,1137.9336418860614,1281.2521879246394,842.2404444444462,1303.0602175925912
132,912.6003703703706,1041.6969513142155,1311.315690476189,1509.0375338496683,1148.0655963706665,1295.517752479849,849.1939259259277,1311.315690476189
133,919.0872477718362,1051.7960480884092,1321.5204947089933,1523.8535749578007,1158.2775820913268,1313.961195292488,856.1474074074092,1321.5204947089933
134,925.606484056249,1059.5859253285525,1330.4883928571414,1538.7576321517238,1167.8834645842614,1333.53694330218,862.6662962962981,1330.4883928571414
135,932.1580792236089,1070.4647317801655,1339.494985449734,1555.8914301856826,1176.8725730179963,1349.0764834297574,869.6197777777796,1339.494985449734
136,938.7420332739158,1078.3886860812408,1350.4785482804218,1570.9715195511874,1186.6278471515675,1365.7426619393752,875.2694814814834,1350.4785482804218
137,945.3583462071699,1086.9943706690544,1361.5090972222208,1586.1396250024832,1197.8620985274413,1384.5941154329223,881.7883703703723,1361.5090972222208
138,952.9568282828285,1095.0524020310615,1371.9350125661363,1601.39574653957,1208.4742404283784,1403.5475715966963,887.0034814814834,1371.9350125661363
139,960.5922919389981,1103.8024772998788,1380.441999338623,1618.9319038228587,1218.4536020229045,1421.5443938288083,893.9569629629649,1380.441999338623
140,967.3056815210936,1114.5152344683377,1391.6135066137551,1636.5686509184798,1229.2258063959523,1435.3803382485285,900.4758518518538,1391.6135066137551
